
PARALLEL MONTE CARLO RESULTS
--------------------------------------------------------------------------------
  #  Parameters                                           Sharpe     PF     DD%  Trades   Return
--------------------------------------------------------------------------------
 61  bb_period=25, bb_std=2.4, keltner_period=15, ...       0.13   0.74  -72.22%      21  -10.88%
 62  bb_period=25, bb_std=2.7, keltner_period=20, ...       0.12   0.74  -62.66%       7  -11.21%
 63  bb_period=20, bb_std=2.3, keltner_period=15, ...       0.11   0.97  -45.87%     228  -11.86%
 64  bb_period=20, bb_std=2.4, keltner_period=20, ...       0.11   0.74  -59.23%       7  -10.93%
 65  bb_period=20, bb_std=2.7, keltner_period=20, ...       0.10   0.73  -59.23%       7  -11.86%
 66  bb_period=30, bb_std=2.3, keltner_period=15, ...       0.07   0.40  -55.60%       2  -15.58%
 67  bb_period=20, bb_std=2.5, keltner_period=25, ...       0.06   0.74  -59.39%      11  -15.37%
 68  bb_period=25, bb_std=2.4, keltner_period=25, ...       0.04   0.76  -66.35%      57  -15.55%
 69  bb_period=25, bb_std=2.3, keltner_period=15, ...       0.04   0.84  -65.27%      38  -17.97%
 70  bb_period=20, bb_std=2.8, keltner_period=25, ...       0.02   0.72  -59.39%      10  -17.91%
 71  bb_period=20, bb_std=2.4, keltner_period=20, ...       0.00   0.82  -54.78%      25  -19.20%
 72  bb_period=20, bb_std=2.2, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
 73  bb_period=20, bb_std=2.2, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
 74  bb_period=20, bb_std=2.2, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
 75  bb_period=20, bb_std=2.3, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
 76  bb_period=20, bb_std=2.2, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
 77  bb_period=20, bb_std=2.2, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
 78  bb_period=20, bb_std=2.3, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
 79  bb_period=20, bb_std=2.3, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
 80  bb_period=20, bb_std=2.3, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
 81  bb_period=20, bb_std=2.3, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
 82  bb_period=20, bb_std=2.4, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
 83  bb_period=20, bb_std=2.4, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
 84  bb_period=20, bb_std=2.4, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
 85  bb_period=20, bb_std=2.4, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
 86  bb_period=20, bb_std=2.4, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
